book_id,title,author,category,total_quantity,available_quantity,library_id
1,Automated 6thgeneration leverage,Curtis Humphrey,Fiction,13,5,1
2,Future-proofed object-oriented framework,Jamie Jackson MD,Non-Fiction,19,10,1
3,Visionary leadingedge system engine,George Garrett,Fiction,6,5,1
4,Operative needs-based challenge,Pamela Small,Science Fiction,14,14,1
5,Business-focused bottom-line process improvement,Scott Hughes,Mystery,11,6,1
6,Managed directional framework,Danielle Lloyd,Non-Fiction,9,8,1
7,Extended multimedia installation,Jeanne Watson,Non-Fiction,9,1,1
8,Multi-channeled clear-thinking emulation,Jake Munoz,Non-Fiction,6,3,1
9,Customer-focused 6thgeneration contingency,Amy Thompson,Fiction,19,17,1
10,Phased multimedia neural-net,Lisa Baker,Romance,20,14,1
11,Integrated bi-directional utilization,Michael Dunlap,Mystery,6,3,1
12,Business-focused actuating service-desk,Elizabeth Burns,Science Fiction,12,9,1
13,Universal 6thgeneration collaboration,Tamara Valencia,Romance,7,6,1
14,Optimized encompassing data-warehouse,Antonio Patterson,Romance,20,19,1
15,Integrated 24hour superstructure,James Anderson,Fiction,12,11,1
16,User-centric 24/7 task-force,Stephen Kelly,Fiction,19,8,1
17,Sharable optimizing productivity,Michelle Joseph,Non-Fiction,12,8,1
18,Reduced didactic Local Area Network,Summer Joseph,Non-Fiction,14,5,1
19,Polarized clear-thinking implementation,Mikayla Schneider,Non-Fiction,20,13,1
20,Intuitive 24hour framework,Stephen Allen,Non-Fiction,18,8,1
21,Automated global encryption,Roger Moore,Romance,13,4,2
22,Customer-focused background groupware,Jodi Vasquez,Mystery,17,5,2
23,Diverse 24hour structure,Kristin Robbins,Fiction,5,1,2
24,Multi-lateral full-range productivity,Caleb Gordon,Mystery,12,1,2
25,Customizable 3rdgeneration groupware,Jessica Richards,Non-Fiction,5,3,2
26,Exclusive optimizing hardware,Jonathan Weaver,Fiction,19,7,2
27,Organic responsive matrix,Gina Lopez,Romance,5,3,2
28,Reduced discrete core,Candace Davis,Mystery,17,16,2
29,Synchronized empowering monitoring,Amber Hayes,Non-Fiction,11,10,2
30,User-centric bandwidth-monitored budgetary management,Casey Ramos,Science Fiction,7,7,2
31,Focused static service-desk,Christopher Marks,Romance,6,6,2
32,Reactive asymmetric toolset,Jennifer Dennis,Non-Fiction,13,7,2
33,Configurable motivating core,Garrett Booth,Romance,11,5,2
34,Programmable hybrid product,Carly Meyer,Science Fiction,18,13,2
35,Streamlined transitional secured line,Nicole Robinson,Science Fiction,9,5,2
36,Upgradable regional time-frame,Thomas Solomon,Romance,7,2,2
37,Distributed dedicated portal,Melissa Holmes,Science Fiction,10,10,2
38,Integrated multi-tasking framework,Ashley Cabrera,Romance,12,12,2
39,Self-enabling non-volatile model,Amanda Thompson,Fiction,8,1,2
40,Quality-focused regional Local Area Network,Cody Jackson,Mystery,17,13,2
41,Operative exuding middleware,Joe Perez,Fiction,12,2,3
42,Universal human-resource model,Tammy Duran,Mystery,13,1,3
43,Grass-roots hybrid analyzer,Tiffany Jenkins,Romance,14,13,3
44,Function-based grid-enabled middleware,Sarah Carlson,Mystery,11,4,3
45,Reverse-engineered analyzing middleware,Courtney Guerra,Fiction,9,2,3
46,Realigned local open architecture,Misty Roberts,Science Fiction,15,8,3
47,Enterprise-wide incremental leverage,Christopher Wallace,Non-Fiction,15,3,3
48,User-centric attitude-oriented orchestration,Michael Cantu,Mystery,9,4,3
49,User-centric interactive middleware,Tiffany Woods,Non-Fiction,9,2,3
50,Team-oriented clear-thinking data-warehouse,Joseph Kelly,Non-Fiction,7,1,3
51,Integrated hybrid hierarchy,Sue Moreno,Mystery,19,9,3
52,Total empowering artificial intelligence,Andrew King,Science Fiction,6,2,3
53,Fundamental user-facing function,Donald Mcdonald,Fiction,11,6,3
54,Ergonomic multi-state capability,Molly Bolton,Science Fiction,5,4,3
55,Diverse discrete open system,Mark Kerr,Science Fiction,9,8,3
56,Re-contextualized client-driven productivity,Cindy Bates,Mystery,11,3,3
57,Diverse intangible database,Caleb Jenkins,Non-Fiction,6,6,3
58,Object-based interactive firmware,Laura Hamilton,Mystery,10,6,3
59,Polarized disintermediate success,Jason Holmes,Science Fiction,14,12,3
60,Total value-added functionalities,Rebecca Morris DDS,Mystery,19,19,3
